HB030_old,HB030
303086,30308600
303092,30309200
303093,30309300
303096,30309600
303109,30310900
303110,30311000
303114,30311400
303122,30312200
303130,30313000
303148,30314800
303159,30315900
303165,30316500
303169,30316900
303171,30317100
303172,30317200
303173,30317300
303189,30318900
303198,30319800
303207,30320700
303212,30321200
303217,30321700
303221,30322100
303222,30322200
303226,30322600
303234,30323400
303237,30323700
303238,30323800
303241,30324100
303245,30324500
303246,30324600
303247,30324700
303257,30325700
303262,30326200
303267,30326700
303269,30326900
303272,30327200
303273,30327300
303276,30327600
303283,30328300
303295,30329500
303301,30330100
303302,30330200
303303,30330300
303307,30330700
303309,30330900
303314,30331400
303317,30331700
303323,30332300
303331,30333100
303342,30334200
303347,30334700
303348,30334800
303350,30335000
303353,30335300
303357,30335700
303360,30336000
303363,30336300
303371,30337100
303373,30337300
303380,30338000
303384,30338400
303385,30338500
303387,30338700
303389,30338900
303391,30339100
303394,30339400
303397,30339700
303404,30340400
303406,30340600
303407,30340700
303411,30341100
303412,30341200
303413,30341300
303415,30341500
303416,30341600
303417,30341700
303424,30342400
303426,30342600
303427,30342700
303429,30342900
303432,30343200
303433,30343300
303435,30343500
303436,30343600
303437,30343700
303439,30343900
303442,30344200
303446,30344600
303450,30345000
303452,30345200
303454,30345400
303458,30345800
303460,30346000
303465,30346500
303466,30346600
303467,30346700
303480,30348000
303486,30348600
303488,30348800
303494,30349400
303496,30349600
303497,30349700
303500,30350000
303506,30350600
303508,30350800
303511,30351100
303512,30351200
303513,30351300
303518,30351800
303525,30352500
303527,30352700
303528,30352800
303529,30352900
303532,30353200
303534,30353400
303537,30353700
303538,30353800
303541,30354100
303542,30354200
303548,30354800
303549,30354900
303551,30355100
303553,30355300
303557,30355700
303562,30356200
303566,30356600
303570,30357000
303571,30357100
303575,30357500
303579,30357900
303580,30358000
303581,30358100
303582,30358200
303587,30358700
303588,30358800
303590,30359000
303591,30359100
303592,30359200
303593,30359300
303594,30359400
303595,30359500
303598,30359800
303601,30360100
303606,30360600
303614,30361400
303617,30361700
303618,30361800
303619,30361900
303623,30362300
303624,30362400
303625,30362500
303627,30362700
303630,30363000
303631,30363100
303632,30363200
303635,30363500
303636,30363600
303637,30363700
303639,30363900
303641,30364100
303642,30364200
303643,30364300
303644,30364400
303646,30364600
303649,30364900
303650,30365000
303652,30365200
303653,30365300
303657,30365700
303660,30366000
303663,30366300
303665,30366500
303666,30366600
303667,30366700
303668,30366800
303669,30366900
303670,30367000
303671,30367100
303674,30367400
303676,30367600
303677,30367700
303678,30367800
303679,30367900
303680,30368000
303681,30368100
303683,30368300
303686,30368600
303687,30368700
303688,30368800
303689,30368900
303690,30369000
303695,30369500
303697,30369700
303698,30369800
303699,30369900
303700,30370000
303702,30370200
303703,30370300
303707,30370700
303709,30370900
303711,30371100
303712,30371200
303713,30371300
303714,30371400
303716,30371600
303717,30371700
303719,30371900
303721,30372100
303723,30372300
303725,30372500
303726,30372600
303728,30372800
303729,30372900
303730,30373000
303731,30373100
303733,30373300
303735,30373500
303737,30373700
303738,30373800
303739,30373900
303740,30374000
303741,30374100
303745,30374500
303746,30374600
303747,30374700
303748,30374800
303749,30374900
303750,30375000
303751,30375100
303752,30375200
303754,30375400
303756,30375600
303757,30375700
303760,30376000
303761,30376100
303762,30376200
303763,30376300
303764,30376400
303765,30376500
303766,30376600
303767,30376700
303769,30376900
303770,30377000
303771,30377100
303772,30377200
303773,30377300
303775,30377500
303776,30377600
303778,30377800
303779,30377900
303780,30378000
303782,30378200
303783,30378300
303784,30378400
303785,30378500
303786,30378600
303787,30378700
303789,30378900
303791,30379100
303792,30379200
303794,30379400
303795,30379500
303796,30379600
303797,30379700
303799,30379900
303801,30380100
303802,30380200
303806,30380600
303808,30380800
303809,30380900
303811,30381100
303812,30381200
303813,30381300
303814,30381400
303818,30381800
303819,30381900
303820,30382000
303821,30382100
303824,30382400
303826,30382600
303827,30382700
303828,30382800
303829,30382900
303830,30383000
303831,30383100
303832,30383200
303833,30383300
303836,30383600
303837,30383700
303838,30383800
303840,30384000
303841,30384100
303842,30384200
303843,30384300
303844,30384400
303845,30384500
303846,30384600
303847,30384700
303849,30384900
303850,30385000
303853,30385300
303855,30385500
303856,30385600
303857,30385700
303859,30385900
303860,30386000
303862,30386200
303864,30386400
303866,30386600
303868,30386800
303869,30386900
303870,30387000
303871,30387100
303872,30387200
303873,30387300
303874,30387400
303875,30387500
