PB030,HB030,RB050,AGE,RB090,RB220,RB230,RB240,RL010,RL020,RL030,RL040,RL050,RL060,PB190,PB200,PE010,PE020,PE030,PE040,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PL015,PL020,PL025,PL031,PL040,PL051,PL060,PL073,PL074,PL075,PL076,PL080,PL085,PL086,PL087,PL088,PL089,PL090,PL100,PL111,PL120,PL190,PL200,PL130,PL140,PL150,PY010G,PY010N,PY020G,PY021G,PY030G,PY035G,PY050G,PY050N,PY080G,PY090G,PY090N,PY100G,PY110G,PY120G,PY120N,PY130G,PY140G,AP,SL,M_K
1059230005,10592300,289.12582,23,2,1059230003,1059230002,,,,,,,,1,3,1,60,2010,344,,2,3,2,,2,,,,,1,3,51,40,12,0,0,0,0,0,0,0,0,0,0,,93,,20,3,13,1,2,15312.33,12211.19,0,0,5562.8,0,0,0,0,2507.92,2000,0,0,0,0,0,0,1,6,1
1059240001,10592400,436.65699,86,1,,,1059240002,,,,,,,2,1,2,,1972,400,4,1,1,2,,2,,1,,,7,3,14,,0,0,0,0,0,12,0,0,0,0,0,,,,18,55,,1,1,0,0,0,0,0,0,0,0,0,0,0,13821.96,0,0,0,0,0,1,6,1
1059240002,10592400,436.65699,80,2,,,1059240001,,,,,,,2,1,2,,1962,400,4,2,1,2,,2,,1,,,7,3,12,,0,0,0,0,0,12,0,0,0,0,0,,,,18,42,,1,1,0,0,0,0,0,0,0,0,0,0,0,9969.72,0,0,0,0,0,1,6,1
1059260001,10592600,394.33128,62,1,,,1059260002,,,,,,,2,1,2,,1972,400,2,2,3,2,,2,,1,,,7,3,33,,0,0,0,0,0,12,0,0,0,0,0,,,,20,30,,1,2,2885.52,2670.82,0,0,739.03,0,5146.48,3701.51,0,0,0,6000,0,0,0,10931.28,0,1,6,1
1059260002,10592600,394.33128,62,2,,,1059260001,,,,,,,2,1,2,,1975,700,2,2,3,2,,2,,1,,,7,3,12,,0,0,0,0,0,12,0,0,0,0,0,,,,23,37,,1,2,0,0,0,0,0,0,0,0,0,0,0,7218.38,0,0,0,0,0,1,6,1
1059270001,10592700,440.06103,44,1,,,1059270003,,,,,,,2,1,2,,1988,300,2,2,3,2,,2,,,,,1,3,71,40,12,0,0,0,0,0,0,0,0,0,0,,41,,19,19,12,1,2,29074.69,24000,0,0,7396.29,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
1059270002,10592700,440.06103,20,1,1059270001,1059270003,,,,,,,,1,3,1,60,2013,344,,2,3,2,,2,,2,2,,6,,,,0,0,0,0,0,0,0,12,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
1059270003,10592700,440.06103,41,2,,,1059270001,,,,,,,2,1,2,,1997,700,2,2,3,2,,2,,,,,1,3,23,36,12,0,0,0,0,0,0,0,0,0,0,,85,,23,17,13,1,2,22704.9,19200,0,0,5476.24,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
1059270004,10592700,440.06103,12,1,1059270001,1059270003,,,28,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1
1059280001,10592800,920.0858,49,1,,,1059280002,,,,,,,2,1,2,,1983,300,,1,2,2,,2,,,,,3,1,13,40,0,0,12,0,0,0,0,0,0,0,0,20,49,,18,,3,,,0,0,0,0,0,0,9562.55,7291.45,0,0,0,0,0,0,0,0,0,1,6,1
1059280002,10592800,920.0858,43,2,1059280009,,1059280001,,,,,,,2,1,2,,1989,300,3,1,2,2,,2,,,,,2,3,43,20,0,12,0,0,0,0,0,0,0,0,0,,49,7,18,,3,1,2,5635.58,5230,0,0,1396.08,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
1059280003,10592800,920.0858,24,2,1059280001,1059280002,,,,,,,,1,3,2,,2012,600,2,2,3,2,,2,,,,,1,3,33,40,10,0,0,0,2,0,0,0,0,0,0,,55,,19,,14,1,2,10216.57,8518.53,0,0,3023.62,0,0,0,0,132.31,132.31,0,0,223.33,181.47,0,0,1,6,1
1059280004,10592800,920.0858,22,2,1059280001,1059280002,,,,,,,,1,3,1,60,2011,344,2,2,3,2,,2,,,,,1,3,51,40,12,0,0,0,0,0,0,0,0,0,0,,55,,19,,12,1,2,7466.1,6022.11,0,0,2922.4,0,0,0,0,0,0,0,0,0,0,0,1975,1,6,1
1059280005,10592800,920.0858,21,2,1059280001,1059280002,,,,,,,,1,3,1,60,2012,344,2,2,3,2,,2,,,,,1,3,51,40,1,0,0,0,0,0,0,11,0,0,0,,55,,19,,13,1,2,2040.07,1776.59,0,0,906.96,0,0,0,0,0,0,0,0,0,0,0,2175,1,6,1
1059280006,10592800,920.0858,18,1,1059280001,1059280002,,,,,,,,1,3,1,34,2013,200,,2,3,2,,2,,2,2,,6,,,,0,0,0,0,0,0,0,12,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
1059280007,10592800,920.0858,17,2,1059280001,1059280002,,,,,,,,1,3,1,20,2008,100,2,2,3,2,,2,,2,2,,6,,,,0,0,0,0,0,0,0,12,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
1059280008,10592800,920.0858,16,2,1059280001,1059280002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1
1059280009,10592800,920.0858,69,1,,,,,,,,,,4,3,2,,,0,,,2,2,,2,,1,,,8,3,96,,0,0,0,0,0,0,12,0,0,0,0,,,,16,,,1,2,0,0,0,0,0,0,0,0,0,0,0,6880.68,840,0,0,0,0,1,6,1
1059290001,10592900,848.02268,54,1,,,1059290002,,,,,,,2,1,2,,1980,400,2,1,3,2,,2,,,,,1,3,83,45,12,0,0,0,0,0,0,0,0,0,0,,49,,20,20,12,1,2,34347.19,30000,0,0,5611.48,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
1059290002,10592900,848.02268,53,2,,,1059290001,,,,,,,2,1,2,,1982,400,2,,3,2,,2,,,,,3,2,52,40,0,0,12,0,0,0,0,0,0,0,0,,46,,19,10,1,,,0,0,0,0,0,0,16460,15000,0,0,0,0,0,0,0,0,0,1,6,1
1059300001,10593000,238.68191,58,1,,,1059300002,,,,,,,2,1,2,,1980,700,2,2,3,2,,2,,,,,3,2,52,40,0,0,12,0,0,0,0,0,0,0,0,,47,,18,28,2,,,0,0,0,0,0,0,119480,116300,0,0,0,0,0,0,0,0,0,1,6,1
1059300002,10593000,238.68191,58,2,,,1059300001,,,,,,,2,1,2,,1979,700,2,2,3,2,,2,,,,,3,2,52,40,0,0,12,0,0,0,0,0,0,0,0,,47,,18,32,2,,,0,0,0,0,0,0,104212.2,101032.2,0,0,0,0,0,0,0,0,0,1,6,1
1059310001,10593100,545.63783,64,1,,,1059310002,,,,,,,2,1,2,,1968,200,,2,3,2,,2,,1,,,7,3,75,,0,0,0,0,0,12,0,0,0,0,0,,,,19,44,,1,2,29686.11,22563.86,0,0,9188.74,0,0,0,0,0,0,12536.52,0,1294.77,1029.34,0,0,1,6,1
1059310002,10593100,545.63783,64,2,,,1059310001,,,,,,,2,1,2,,1980,400,2,2,3,2,,2,,,,,1,3,23,40,12,0,0,0,0,0,0,0,0,0,0,,85,,19,45,13,1,2,26061.91,19807.34,0,0,8073.99,0,0,0,0,0,0,11253.63,0,0,0,0,0,1,6,1
1059330001,10593300,621.28109,46,2,,,,,,,,,,5,3,2,,1987,400,3,2,2,2,,2,,,,,1,3,52,40,12,0,0,0,0,0,0,0,0,0,0,,47,,19,20,13,1,2,13404.22,10959.54,0,0,4150.2,0,0,0,0,0,0,0,0,248.73,196.5,0,0,1,6,1
1059330002,10593300,621.28109,18,2,,1059330001,,,,,,,,1,3,1,34,2013,200,,2,3,2,,2,,2,2,,6,,,,0,0,0,0,0,0,0,12,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
1059340001,10593400,327.7607,56,2,,,,,,,,,,5,3,2,,1976,300,3,2,3,2,,2,,1,2,,5,3,71,,0,0,0,0,12,0,0,0,0,0,0,,,,20,20,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
1059350001,10593500,462.64091,65,2,,,1059350003,,,,,,,2,1,2,,1970,400,3,2,3,2,,2,,1,,,7,3,43,,0,0,0,0,0,12,0,0,0,0,0,,,,21,37,,1,2,79.55,60.39,0,0,24.64,0,0,0,0,0,0,10637.4,0,0,0,0,0,1,6,1
1059350002,10593500,462.64091,33,1,1059350003,1059350001,,,,,,,,1,3,2,,2004,600,,2,3,2,,2,,,,,1,3,52,40,0,0,0,0,12,0,0,0,0,0,0,,47,,19,6,13,2,2,5930.32,5339.84,0,0,1860.45,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
1059350003,10593500,462.64091,62,1,,,1059350001,,,,,,,2,1,2,,1970,300,,2,3,2,,2,,,,,1,3,71,40,12,0,0,0,0,0,0,0,0,0,0,,41,,18,44,15,1,2,17999.97,15600,0,0,3811.14,0,0,0,0,0,0,0,0,149.49,128.04,0,0,1,6,1
1059360001,10593600,440.99359,81,2,,,1059360002,,,,,,,2,1,2,,1949,100,4,1,1,2,,2,,1,,,7,3,51,,0,0,0,0,0,12,0,0,0,0,0,,,,17,34,,1,2,0,0,0,0,0,0,0,0,0,0,0,10578,0,0,0,0,0,1,6,1
1059360002,10593600,440.99359,83,1,,,1059360001,,,,,,,2,1,2,,1941,100,4,1,1,2,,2,,1,,,7,3,71,,0,0,0,0,0,12,0,0,0,0,0,,,,18,40,,1,2,0,0,0,0,0,0,0,0,0,0,0,12731.28,0,0,0,0,0,1,6,1
1059370001,10593700,786.24984,68,1,,,1059370002,,,,,,,2,1,2,,1982,300,4,1,1,2,,2,,1,,,7,3,83,,0,0,0,0,0,12,0,0,0,0,0,,,,16,41,,1,2,0,0,0,0,0,0,0,0,0,0,0,8105.16,0,0,0,0,0,1,7,2
1059370002,10593700,786.24984,65,2,,,1059370001,,,,,,,2,1,2,,1968,400,3,2,3,2,,2,,1,,,7,3,61,,0,0,0,0,0,12,0,0,0,0,0,,,,16,40,,1,2,0,0,0,0,0,0,0,0,0,0,0,8086.32,0,0,0,0,0,1,7,2
1059370003,10593700,786.24984,43,1,1059370001,1059370002,,,,,,,,1,3,2,,,400,3,1,3,2,,2,,,,,1,3,75,40,12,0,0,0,0,0,0,0,0,0,0,30,10,,18,25,13,1,2,16354.23,13124.02,0,0,4957.03,287,76558.4,73138.4,0,0,0,0,0,6132.1,4875.98,0,0,1,7,2
1059380001,10593800,998.7729,56,1,,,1059380002,,,,,,,2,1,2,,1979,400,3,2,3,2,,2,,,,,3,4,61,50,0,0,12,0,0,0,0,0,0,0,0,,1,,20,28,2,,,0,0,0,0,0,0,7941.52,7941.52,0,0,0,0,0,0,0,492.44,0,1,7,2
1059380002,10593800,998.7729,62,2,,,1059380001,,,,,,,2,1,2,,1971,400,3,1,2,2,,2,,1,,,7,4,61,,0,0,0,0,0,12,0,0,0,0,0,,,,21,31,,,,10964.46,9168.66,0,0,3396.79,0,0,0,0,0,0,3634.57,0,0,0,0,0,1,7,2
1059390001,10593900,1053.72566,49,1,,1059390002,,,,,,,,5,3,2,,1984,400,4,1,1,2,,2,,1,2,,8,3,83,,0,0,0,0,0,0,12,0,0,0,0,,,,22,24,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18727.92,0,1,7,2
1059390002,10593900,1053.72566,72,2,,,,,,,,,,4,3,2,,1956,200,3,1,2,2,,2,,1,,,7,3,61,,0,0,0,0,0,12,0,0,0,0,0,,,,17,30,,1,2,0,0,0,0,0,0,0,0,0,0,0,8073.96,840,0,0,0,0,1,7,2
1059400001,10594000,1891.7037,84,2,,,,,,,,,,4,3,2,,1940,100,4,1,1,2,,2,,1,,,7,3,92,,0,0,0,0,0,12,0,0,0,0,0,,,,17,32,,1,2,0,0,0,0,0,0,0,0,0,0,0,7108.44,840,0,0,0,0,1,7,2
1059420001,10594200,1102.80659,61,1,,,1059420002,,,,,,,2,1,2,,1977,400,,1,2,2,,2,,,,,2,3,51,20,0,12,0,0,0,0,0,0,0,0,0,12,85,,19,38,13,1,2,6413.43,6000,0,0,1423.13,0,1500,0,0,0,0,0,0,1055.73,842.66,8039.16,0,1,7,2
1059420002,10594200,1102.80659,61,2,,,1059420001,,,,,,,2,1,2,,1973,400,4,1,1,2,,2,,1,2,,8,3,14,,0,0,0,0,0,0,12,0,0,0,0,,,,18,9,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7861.5,0,1,7,2
1059430001,10594300,629.63748,72,1,,,1059430002,,,,,,,2,1,2,,1974,300,,1,2,2,,2,,1,,,7,3,83,,0,0,0,0,0,12,0,0,0,0,0,,,,16,38,,1,2,0,0,0,0,0,0,0,0,0,0,0,10523.64,2160,0,0,0,0,1,7,2
1059430002,10594300,629.63748,70,2,,,1059430001,,,,,,,2,1,2,,1981,400,3,1,2,2,,2,,1,,,7,3,21,,0,0,0,0,0,12,0,0,0,0,0,,,,16,30,,1,2,0,0,0,0,0,0,0,0,0,0,0,8666.88,0,0,0,0,0,1,7,2
1059450001,10594500,673.10916,52,1,,,1059450002,,,,,,,2,1,2,,1988,700,2,2,3,2,,2,,,,,1,3,33,40,12,0,0,0,0,0,0,0,0,0,0,,23,,24,27,3,1,2,12594,12000,0,0,1858.8,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2
1059450002,10594500,673.10916,52,2,,,1059450001,,,,,,,2,1,2,,1986,700,2,2,3,2,,2,,,,,3,1,11,40,0,0,12,0,0,0,0,0,0,0,0,,23,,24,26,3,,,15177.77,12204.47,0,0,4712.66,0,0,0,0,0,0,0,0,511.76,412.94,0,0,1,7,2
1059460001,10594600,600.89823,61,1,,,1059460002,,,,,,,2,1,2,,1972,300,2,2,3,2,,2,,,,,3,4,61,50,0,0,12,0,0,0,0,0,0,0,0,,1,,19,30,2,,,0,0,0,0,0,0,16867.15,16584.99,0,0,0,0,0,0,0,0,0,1,7,2
1059460002,10594600,600.89823,60,2,,,1059460001,,,,,,,2,1,2,,1975,400,2,2,3,2,,2,,,,,3,4,61,45,0,0,12,0,0,0,0,0,0,0,0,,1,,21,30,2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2
1059480001,10594800,1882.59077,87,2,,,,,,,,,,4,3,2,,1937,100,4,1,1,2,,2,,1,,,7,3,92,,0,0,0,0,0,12,0,0,0,0,0,,,,16,34,,1,2,0,0,0,0,0,0,0,0,0,0,0,16064.52,840,0,0,0,0,1,7,2
1059490001,10594900,1285.84582,36,1,1059490005,,1059490004,,,,,,,2,1,2,,1993,200,,2,3,2,,2,,,,,1,3,83,40,12,0,0,0,0,0,0,0,0,0,0,,49,,20,12,4,1,2,13595.35,12000,0,0,3732.59,0,47.98,34.5,0,0,0,0,0,0,0,0,0,1,7,2
1059490002,10594900,1285.84582,13,2,1059490001,1059490004,,,28,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,2
1059490003,10594900,1285.84582,3,2,1059490001,1059490004,,8,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,2
1059490004,10594900,1285.84582,31,2,,,1059490001,,,,,,,2,1,2,,1999,200,2,2,3,2,,2,,,,,1,3,52,40,12,0,0,0,0,0,0,0,0,0,0,,56,,20,10,2,1,2,7395.99,6555.33,0,0,2046.94,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2
