HB030,HB030_new
107657,10765700
107658,10765800
107660,10766000
107661,10766100
107663,10766300
107664,10766400
107665,10766500
107666,10766600
107667,10766700
107670,10767000
107672,10767200
107673,10767300
107675,10767500
107679,10767900
107684,10768400
107686,10768600
107687,10768700
107688,10768800
107690,10769000
107691,10769100
107693,10769300
107695,10769500
107697,10769700
107698,10769800
107699,10769900
107702,10770200
107705,10770500
107706,10770600
107707,10770700
107708,10770800
107709,10770900
107712,10771200
107713,10771300
107715,10771500
107717,10771700
107718,10771800
107720,10772000
107721,10772100
107722,10772200
107723,10772300
107725,10772500
107726,10772600
107727,10772700
107728,10772800
107729,10772900
107730,10773000
107731,10773100
107732,10773200
107733,10773300
107735,10773500
107737,10773700
107738,10773800
107739,10773900
107742,10774200
107743,10774300
107744,10774400
107745,10774500
107746,10774600
107748,10774800
107750,10775000
107751,10775100
107755,10775500
107756,10775600
107759,10775900
107760,10776000
107761,10776100
107764,10776400
107768,10776800
107769,10776900
107770,10777000
107771,10777100
107772,10777200
107773,10777300
107774,10777400
107775,10777500
107776,10777600
107782,10778200
107784,10778400
107785,10778500
107786,10778600
107788,10778800
107789,10778900
107790,10779000
107792,10779200
107793,10779300
107797,10779700
107798,10779800
107800,10780000
107801,10780100
107802,10780200
107803,10780300
107804,10780400
107805,10780500
107806,10780600
107808,10780800
107810,10781000
107812,10781200
107814,10781400
107815,10781500
107816,10781600
107817,10781700
107818,10781800
107820,10782000
107822,10782200
107823,10782300
107824,10782400
107825,10782500
107826,10782600
107828,10782800
107829,10782900
107830,10783000
107831,10783100
107832,10783200
107835,10783500
107838,10783800
107840,10784000
107841,10784100
107843,10784300
107844,10784400
107845,10784500
107846,10784600
107847,10784700
107848,10784800
107849,10784900
107852,10785200
107853,10785300
107855,10785500
107856,10785600
107857,10785700
107858,10785800
107859,10785900
107860,10786000
107864,10786400
107866,10786600
107867,10786700
107869,10786900
107871,10787100
107872,10787200
107873,10787300
107874,10787400
107877,10787700
107879,10787900
107880,10788000
107882,10788200
107885,10788500
107889,10788900
107890,10789000
107892,10789200
107896,10789600
107900,10790000
107902,10790200
107903,10790300
107906,10790600
107907,10790700
107908,10790800
107909,10790900
107910,10791000
107914,10791400
107915,10791500
107916,10791600
107919,10791900
107920,10792000
107921,10792100
107923,10792300
107926,10792600
107927,10792700
107928,10792800
107930,10793000
107933,10793300
107935,10793500
107946,10794600
107948,10794800
107951,10795100
107953,10795300
107954,10795400
107955,10795500
107957,10795700
