PB030_old,PB030
20039302,2003930002
20039501,2003950001
20039502,2003950002
20039601,2003960001
20039602,2003960002
20039701,2003970001
20039702,2003970002
20039801,2003980001
20039802,2003980002
20040001,2004000001
20040002,2004000002
20040101,2004010001
20040102,2004010002
20040201,2004020001
20040301,2004030001
20040302,2004030002
20040401,2004040001
20040501,2004050001
20040502,2004050002
20040601,2004060001
20040602,2004060002
20040801,2004080001
20040901,2004090001
20040902,2004090002
20041101,2004110001
20041501,2004150001
20041504,2004150004
20041602,2004160002
20041701,2004170001
20041702,2004170002
20041801,2004180001
20041802,2004180002
20041803,2004180003
20041804,2004180004
20042001,2004200001
20042002,2004200002
20042003,2004200003
20042101,2004210001
20042201,2004220001
20042301,2004230001
20042302,2004230002
20042401,2004240001
20042402,2004240002
20042501,2004250001
20042601,2004260001
20042602,2004260002
20042605,2004260005
20042701,2004270001
20042702,2004270002
20042801,2004280001
20042901,2004290001
20043001,2004300001
20043101,2004310001
20043201,2004320001
20043301,2004330001
20043401,2004340001
20043402,2004340002
20043601,2004360001
20043701,2004370001
20043801,2004380001
20044001,2004400001
20044101,2004410001
20044401,2004440001
20044402,2004440002
20044403,2004440003
20044601,2004460001
20044801,2004480001
20044802,2004480002
20045101,2004510001
20045102,2004510002
20045501,2004550001
20045502,2004550002
20045503,2004550003
20045701,2004570001
20045702,2004570002
20045703,2004570003
20045704,2004570004
20046101,2004610001
20046105,2004610005
20046107,2004610007
20046108,2004610008
20046405,2004640005
20046501,2004650001
20046502,2004650002
20046503,2004650003
20046601,2004660001
20046602,2004660002
20046801,2004680001
20047001,2004700001
20047101,2004710001
20047301,2004730001
20047302,2004730002
20047401,2004740001
20047601,2004760001
20047701,2004770001
20047702,2004770002
20047703,2004770003
20047704,2004770004
20047801,2004780001
20047802,2004780002
20047803,2004780003
20047804,2004780004
20047901,2004790001
20047902,2004790002
20048101,2004810001
20048102,2004810002
20048103,2004810003
20048104,2004810004
20048105,2004810005
20048106,2004810006
20048401,2004840001
20048501,2004850001
20048502,2004850002
20048601,2004860001
20048602,2004860002
20048603,2004860003
20048604,2004860004
20048801,2004880001
20048802,2004880002
20048803,2004880003
20048901,2004890001
20048902,2004890002
20049001,2004900001
20049002,2004900002
20049101,2004910001
20049201,2004920001
20049301,2004930001
20049302,2004930002
20049305,2004930005
20049401,2004940001
20049701,2004970001
20049801,2004980001
20049802,2004980002
20049901,2004990001
20049902,2004990002
20050101,2005010001
20050102,2005010002
20050201,2005020001
20050202,2005020002
20050401,2005040001
20050402,2005040002
20050601,2005060001
20050602,2005060002
20050801,2005080001
20050802,2005080002
20050901,2005090001
20050902,2005090002
20051001,2005100001
20051002,2005100002
20051201,2005120001
20051202,2005120002
20051301,2005130001
20051302,2005130002
20051401,2005140001
20051402,2005140002
20051701,2005170001
20051702,2005170002
20051901,2005190001
